CVE_DOC,CVE_PEDI,CVE_CLPV,FECHA_DOC,FECHA_CANCELA,CAN_TOT,CANCELADO
NC00342,F30995,6118,2020-02-18,,3591.17,No
NC00343,F30998,5926,2020-02-18,,431.03400000000005,No
NC00344,F31027,3063,2020-02-24,,17710.0,No
NC00345,F31230,7064,2020-02-26,,2067.2000000000003,No
NC00346,F30993,3808,2020-02-27,,3196.12,No
NC00347,F31234,7060,2020-03-03,,1199.0,No
NC00348,F31187,6754,2020-03-03,,1126.68,No
NC00349,F31345,6478,2020-03-03,,1201.0800000000002,No
NC00350,F31344,5926,2020-03-03,,1198.95,No
NC00351,F31351,7031,2020-03-04,,643.0,No
NC00352,F31359,993,2020-03-04,,2842.0000000000005,No
NC00353,f30992,6553,2020-03-04,,1537.1000000000001,No
NC00354,F31355,3806,2020-03-05,,4242.450000000001,No
NC00355,F31327,6536,2020-03-05,,796.82,No
NC00356,ANT,5088,2020-03-06,,775.86,No
NC00357,F31326,7082,2020-03-09,,1464.86,No
NC00358,F30989,6538,2020-03-10,,3750.0000000000005,No
NC00359,F31342,5926,2020-03-10,,2155.1724,No
NC00360,F31418,6290,2020-03-10,,603.45,No
NC00361,F31358,5926,2020-03-11,,1312.5,No
NC00362,F31343,5926,2020-03-12,,1724.14,No
NC00363,F31341,5926,2020-03-12,,530.1700000000001,No
NC00364,F31306,7080,2020-03-12,,2840.0000000000005,No
NC00365,F31360,5926,2020-03-12,,1677.7500000000002,No
NC00366,F31354,5926,2020-03-13,,301.81030000000004,No
NC00367,F31328,5915,2020-03-19,,4438.52,No
NC00368,F31348,5926,2020-03-19,,724.1400000000001,No
NC00369,F31346,3686,2020-03-19,,4310.344800000001,No
NC00370,F31347,5598,2020-03-23,,1724.14,No
NC00371,F31685,6297,2020-04-02,,3500.0000000000005,No
NC00372,F31669,6426,2020-04-02,,5600.000000000001,No
NC00373,F31350,871,2020-04-02,,2704.0,No
NC00374,ANT,5926,2020-04-03,,8326.5172,No
NC00375,ANT,5057,2020-04-08,,3500.0000000000005,No
NC00376,F31682,794,2020-04-14,,33250.0,No
NC00377,F31673,2325,2020-04-14,,5284.0,No
NC00378,F31675,5746,2020-04-20,,1724.14,No
NC00379,F30976,209,2020-04-21,,1441.9827,No
NC00380,F30976,209,2020-04-21,,292.4051,No
NC00381,F31520,209,2020-04-22,,1580.5948,No
NC00382,F31686,7074,2020-04-24,,851.7241,No
NC00383,F30476,6059,2020-04-30,2020-05-01,10048.050000000001,Si
NC00384,F30476,6059,2020-04-30,,2880.0000000000005,No
NC00385,F31797,6978,2020-05-08,,8030.0,No
NC00386,F31911,6179,2020-06-03,,2755.0,No
NC00387,F31905,8040,2020-06-09,,5454.150000000001,No
NC00388,F31910,2357,2020-06-10,,2192.84,No
NC00389,F31909,2357,2020-06-10,,8431.8965,No
NC00390,F31906,4563,2020-06-15,,5824.500000000001,No
NC00391,F31937,1761,2020-06-15,,1618.5600000000002,No
NC00392,F31907,6978,2020-06-16,,590.0,No
NC00393,F31909,2357,2020-06-16,,4337.5689,No
NC00394,F31906,4563,2020-06-22,,2440.2000000000003,No
NC00395,F30087,1757,2020-06-26,,3448.28,No
NC00396,F31789,5926,2020-06-29,,21551.72,No
NC00397,F32009,8054,2020-07-01,,1189.99,No
NC00398,F31677,3444,2020-07-01,,2005.4568,No
NC00399,F32114,8056,2020-07-02,,3350.0000000000005,No
NC00400,F32119,5982,2020-07-02,,4662.8,No
NC00401,F32116,5982,2020-07-02,,5102.320000000001,No
NC00402,F32120,5982,2020-07-02,,5102.320000000001,No
NC00403,F31785,8019,2020-07-06,,11000.0,No
NC00404,F32113,1390,2020-07-08,,1724.14,No
NC00405,F32112,4889,2020-07-09,,2910.3100000000004,No
NC00406,ANT,8059,2020-07-09,,2585.3448000000003,No
NC00407,F32101,6777,2020-07-10,,1598.4900000000002,No
NC00408,F32130,8070,2020-07-13,,7500.000000000001,No
NC00409,ANT,6576,2020-07-15,,1870.95,No
NC00410,F31429,5456,2020-07-20,,427.25000000000006,No
NC00411,F32242,2963,2020-07-20,,3062.9700000000003,No
NC00412,F31714,6437,2020-07-21,,44143.020000000004,No
NC00413,F29684,6365,2020-07-23,,2556.0,No
NC00414,PP01033,1591,2020-07-23,,258.6206,No
NC00415,ANT,3937,2020-07-31,,1596.8000000000002,No
NC00416,F30117,3937,2020-07-31,,4310.344800000001,No
NC00417,F32121,3937,2020-07-31,,8620.69,No
NC00418,F32111,3937,2020-07-31,,4310.344800000001,No
NC00419,F32126,5778,2020-07-31,,4125.0,No
NC00420,F32422,4430,2020-08-05,2020-08-20,9480.0,Si
NC00421,F32416,4000,2020-08-07,,6693.88,No
NC00422,F32128,5982,2020-08-07,,1692.36,No
NC00423,F31835,6144,2020-08-10,,150.72410000000002,No
NC00424,F32433,8103,2020-08-11,,701.7600000000001,No
NC00425,F32401,8104,2020-08-11,,27989.300000000003,No
NC00426,F32431,9000,2020-08-13,,596.5500000000001,No
NC00427,ANT 5745,5746,2020-08-13,,4310.344800000001,No
NC00428,F32428,6848,2020-08-13,,862.07,No
NC00429,F29859,6435,2020-08-14,,301.36106,No
NC00430,F29973,5478,2020-08-14,,266.0,No
NC00431,F32420,7077,2020-08-19,,7463.64,No
NC00432,F32419,3628,2020-08-20,,22989.550000000003,No
NC00433,F32712,8116,2020-09-03,,2600.0,No
NC00434,F32711,9395,2020-09-04,,515.08,No
NC00435,ANT,5926,2020-09-07,,144.83,No
NC00436,F32709,4527,2020-09-08,,1722.0000000000002,No
NC00437,F32718,6838,2020-09-09,,6458.0172,No
NC00438,F32710,4469,2020-09-10,,4632.14,No
NC00439,F32715,5926,2020-09-11,,756.59,No
NC00440,F32717,5926,2020-09-11,,663.7900000000001,No
NC00441,F32434,5926,2020-09-18,,2625.0,No
NC00442,F32713,8104,2020-09-22,,1917.1982000000003,No
NC00443,F32895,1943,2020-09-28,,1293.1000000000001,No
NC00444,F32979,8162,2020-10-05,,6300.000000000001,No
NC00445,F32957,1943,2020-10-05,,5347.9800000000005,No
NC00446,F30987,5926,2020-10-07,,280.17,No
NC00447,F32959,8125,2020-10-07,,2500.0,No
NC00448,F32743,2995,2020-10-07,,600.0,No
NC00449,F32966,8145,2020-10-07,,5725.000000000001,No
NC00450,F32958,3230,2020-10-09,,2823.36,No
NC00451,F32360,5926,2020-10-09,,300.0,No
NC00452,ANT,5926,2020-10-09,,969.83,No
NC00453,F32978,8151,2020-10-13,,13603.970000000001,No
NC00454,F32969,4527,2020-10-13,,710.0000000000001,No
NC00455,F32957,1943,2020-10-15,,5347.9800000000005,No
NC00456,F32954,2029,2020-10-16,,10240.0,No
NC00457,F32986,5926,2020-10-16,,600.0,No
NC00458,F33033,6053,2020-10-20,,739.9200000000001,No
NC00459,F33315,5956,2020-11-04,,590.3000000000001,No
NC00460,ANT,5926,2020-11-11,,755.1700000000001,No
NC00461,F33298,5926,2020-11-11,,1724.14,No
NC00462,F33308,5926,2020-11-13,,15200.000000000002,No
NC00463,ANT,7053,2020-11-17,,6001.6,No
NC00464,F33292,6584,2020-11-17,,4700.0,No
NC00465,F33112,5650,2020-11-19,,10625.0,No
NC00466,F33311,8082,2020-11-23,,2725.86,No
NC00467,F33348,8215,2020-11-27,,6369.7543000000005,No
NC00468,F30078,6441,2020-11-27,,1744.2,No
NC00469,F33295,4527,2020-11-30,,31240.000000000004,No
NC00470,ANT,8202,2020-11-30,,4216.910000000001,No
NC00471,F33560,8238,2020-12-02,,989.1000000000001,No
NC00472,F33364,8222,2020-12-02,,1804.0500000000002,No
NC00473,F33590,5926,2020-12-02,,2713.5,No
NC00474,F32955,6599,2020-12-02,,2464.0,No
NC00475,ANT,8238,2020-12-03,2020-12-03,989.1000000000001,Si
NC00476,F33589,5919,2020-12-03,,7660.400000000001,No
NC00477,F33570,5915,2020-12-03,,4538.33,No
NC00478,F33573,8000,2020-12-04,,2938.5000000000005,No
NC00479,F33581,4080,2020-12-07,,6034.4800000000005,No
NC00480,F33585,6354,2020-12-07,,1714.0000000000002,No
NC00481,F33584,6354,2020-12-07,,2400.0,No
NC00482,F33583,6349,2020-12-10,,4125.0,No
NC00483,F33555,6049,2020-12-10,,13195.000000000002,No
NC00484,F33580,6839,2020-12-10,,23160.000000000004,No
NC00485,F33571,2702,2020-12-10,,2335.86,No
NC00486,F33539,6349,2020-12-11,,4125.0,No
NC00487,F33543,8244,2020-12-11,,5520.0,No
NC00488,F33548,8245,2020-12-11,,4822.5,No
NC00489,F33703,8240,2020-12-11,,1700.0000000000002,No
NC00490,F33577,8228,2020-12-11,,1293.1000000000001,No
NC00491,F33316,5926,2020-12-14,,431.03440000000006,No
NC00492,F33578,5926,2020-12-16,,862.07,No
NC00493,F33542,8234,2020-12-16,,550.0,No
NC00494,F33568,4581,2020-12-16,,1640.0000000000002,No
NC00495,F31289-F31301,6198,2020-12-18,,8620.689600000002,No
NC00496,F33736,8244,2020-12-18,,4290.0,No
NC00497,F32127,169,2020-12-21,,600.0,No
NC00498,F33795,9564,2021-01-06,,2112.27,No
NC00499,F33575,5778,2021-01-06,,1600.0000000000002,No
NC00500,F33580,6839,2021-01-06,,6322.59,No
NC00501,F33799,3085,2021-01-06,,5206.080000000001,No
NC00502,F33725,5045,2021-01-07,,788.7900000000001,No
NC00503,F33780,193,2021-01-14,,651.5,No
NC00504,F33800,6297,2021-01-19,,1360.0,No
NC00505,F33878,5538,2021-01-28,,781.0000000000001,No
NC00506,F33797,4843,2021-01-29,,15873.19,No
NC00507,F33796,4843,2021-01-29,,12346.93,No
NC00508,F33953,4623,2021-01-29,,2218.27,No
NC00509,F34068,5926,2021-02-02,,2065.9482000000003,No
NC00510,F34067,5926,2021-02-03,,2529.53,No
NC00511,F34022,3919,2021-02-08,,870.0,No
NC00512,F34048,6726,2021-02-08,,2266.7400000000002,No
NC00513,F34064,2326,2021-02-10,,293.1,No
NC00514,F33978,3388,2021-02-10,2021-02-18,13616.61,Si
NC00515,F33582,7053,2021-02-11,2021-02-12,1637.931,Si
NC00516,F33457,269,2021-02-12,,1450.0000000000002,No
NC00517,F33798,8177,2021-02-12,,1729.7700000000002,No
NC00518,F34102,8215,2021-02-16,,3200.0000000000005,No
NC00519,F30984,6744,2021-02-22,,1362.0,No
NC00520,,6744,2021-02-22,,631.0,No
NC00521,F33978,3388,2021-02-24,,13616.61,No
NC00522,F34055,4581,2021-02-25,,6822.410000000001,No
NC00523,F34070,5926,2021-02-25,,2448.0,No
NC00524,F34351,3033,2021-02-26,,887.9300000000001,No
NC00525,F34071,5926,2021-03-01,,2404.5689,No
NC00526,F34296,7012,2021-03-03,,15900.000000000002,No
NC00527,F34308,3912,2021-03-04,,137250.0,No
NC00528,,5177,2021-03-08,,210.00860000000003,No
NC00529,F34337,5074,2021-03-11,,8400.0,No
NC00530,F34382,6490,2021-03-16,,7200.000000000001,No
NC00531,F34537,4520,2021-03-17,,1669.5800000000002,No
NC00532,F34377,4858,2021-03-17,,3508.9500000000003,No
NC00533,F34069,640,2021-03-22,,6284.000000000001,No
NC00534,F33772,8267,2021-03-23,,477.06000000000006,No
NC00535,F34565,4549,2021-03-23,,4770.0,No
NC00536,F34731,5219,2021-03-23,,4240.0,No
NC00537,F34604,5219,2021-03-24,,2120.0,No
NC00538,F34605,5219,2021-03-24,,2120.0,No
NC00539,F34334,3402,2021-03-29,,6465.5172,No
NC00540,F34514,8285,2021-03-29,,4691.900000000001,No
NC00541,F34501,4581,2021-04-05,,172.4137,No
NC00542,F33366,3912,2021-04-06,,137250.0,No
NC00543,F34712,3912,2021-04-06,,137250.0,No
NC00544,F34396,3681,2021-04-07,,1962.93,No
NC00545,F34687,6333,2021-04-08,,3789.05,No
NC00546,F34686,5331,2021-04-13,,4310.3448,No
NC00547,F34363,5331,2021-04-13,,2970.53,No
NC00548,F34051,8149,2021-04-19,,267.2758,No
NC00549,F34690,6928,2021-04-19,,6319.689600000001,No
NC00550,F34838,5926,2021-04-22,,1455.1724,No
NC00551,F29663,251,2021-05-06,,1250.0,No
NC00552,F32436,466,2021-05-06,,1937.6000000000001,No
NC00553,F29893,2385,2021-05-06,,1500.0000000000002,No
