CVE_DOC,CANT,CVE_ART,COSTO_UNITARIO_CALCULADO,COSTO_TOTAL_CALCULADO,MARGEN_TOTAL_CALCULADO
F37722,1,BL00001,50.94,50.94,528.72
F37722,1,BP00258,45.28,45.28,754.72
F37724,3,EE00003,4.92,14.76,1170.24
F37728,6,BOE00012,1137.06,6822.37,11420.51
F37728,10,BOE00013,698.18,6981.76,16684.54
F37730,1,TP0008,211.36,211.36,480.32
F37730,1,TP0022,410.21,410.21,452.12
F37731,1,TP0001,38.96,38.96,81.04
F37734,2,BO00005,1560.44,3120.88,33879.12
F37736,25,TP0003,88.63,2215.69,1534.31
F37737,2,TP0003,71.25,142.5,238.54
F37740,2,TEA00016,710.34,1420.68,2279.32
F37742,1,RP00184,102.22,102.22,533.99
F37743,3,TEA00017,502.32,1506.97,1247.03
F37746,8,BN00248,97.46,779.66,3420.34
F37746,2,BN00249,172.28,344.57,645.43
F37746,2,BN00250,155.02,310.03,398.97
F37746,1,BN00251,177.36,177.36,177.14
F37750,3,BP00149,216.46,649.37,5946.37
F37750,4,BP00150,213.66,854.65,4187.27
F37751,2,BE00011,37.66,75.32,1485.18
F37751,2,BE00012,44.54,89.08,1509.16
F37751,2,BE00013,48.09,96.18,1547.6
F37751,2,BE00015,51.09,102.18,1576.68
F37752,1,TP0003,72.37,72.37,118.15
F37753,1,BB1 1/2X1/2-300W,220.0,220.0,215.0
F37755,1,TUS00116,64.91,64.91,462.68
F37756,1,TUS00118,258.43,258.43,946.57
F37757,1,TP0015,173.0,173.0,531.5
F37758,18,TUE00319,714.2,12855.68,61844.32
F37760,2,151.7208,391.24,782.48,773.87
F37761,1,TUA00096,116.73,116.73,790.77
F37764,3,TP0024,48.49,145.47,349.53
F37770,1,TP0022,410.21,410.21,452.14
F37772,1,TUE00025,316.4,316.4,1235.32
F37774,1,MA00016,6.69,6.69,532.1
F37775,1,RP00180,24.0,24.0,363.93
F37776,1,RP00171,258.21,258.21,761.79
F37777,60,BOBINA001,340.8,20448.01,57511.19
F37785,1,BB1 1/2X1/2-300W,220.0,220.0,225.0
F37787,12,TUA00219,447.47,5369.65,12786.35
F37788,12,TUS00020,26.95,323.44,5682.56
F37791,1,TUA00434,244.91,244.91,811.12
F37802,6,CS12F1040A00,88.95,533.7,2841.3
F37802,6,CS12H1050A00,91.21,547.28,3332.32
F37803,25,ECQ-00972,366.1,9152.38,27730.12
F37803,1,ECQ-01444,736.48,736.48,2316.77
F37804,10,ECQ-00972,356.75,3567.53,11185.47
F37804,3,ECQ-01444,791.1,2373.3,6786.45
F37805,18,TP00019,236.1,4249.74,6910.26
F37807,2,TUE00162,517.36,1034.72,2764.98
F37808,4,TUE00348,305.38,1221.53,8612.27
F37813,1,TUE00105,1306.63,1306.63,3650.1
F37814,3,TUS00035,88.74,266.21,1706.29
F37817,1,GAB00014,1516.24,1516.24,19370.94
F37817,2,TUA00376,2935.26,5870.53,8403.47
F37818,1,TP0040,137.48,137.48,298.24
F37824,1,TP0001,42.79,42.79,77.3
F37827,1,BP00251,112.24,112.24,521.36
F37827,1,BP00252,111.07,111.07,453.64
F37827,1,BP00253,112.24,112.24,521.36
F37827,1,BP00254,59.54,59.54,439.11
F37827,1,BP00255,110.37,110.37,505.63
F37827,1,BP00256,110.37,110.37,487.63
F37829,1,RP00187,90.16,90.16,771.84
F37830,3,TUS00002,106.52,319.57,1796.93
F37831,4,TUS00001,158.37,633.46,2188.54
F37832,1,TUE00081,359.16,359.16,1919.29
F37834,4,TUA00175,377.29,1509.17,7929.63
F37835,1,TUS00117,165.15,165.15,940.45
F37836,2,BC00010,360.32,720.65,4079.35
F37841,2,RP00150,0.36,0.72,2999.28
F37842,1,BB1 1/2X1/2-300W,220.0,220.0,215.0
F37843,4,MR01934,161.73,646.92,3107.2
F37844,2,BN00064,47.25,94.49,715.91
F37845,1,TP0026,113.59,113.59,244.17
F37852,5,TUS00017,91.9,459.5,2669.0
F37852,3,TUS00018,98.64,295.92,1581.18
F37853,1,TP0002,51.36,51.36,102.09
F37854,25,E1041959,203.34,5083.38,18.53
F37858,4,BC00006,1140.93,4563.71,2849.29
F37858,5,P231A1D6K200,251.51,1257.53,1737.47
F37860,4,65014-38,183.83,735.34,3664.66
F37863,2,TUA00435,755.73,1511.46,2470.66
F37866,1,CM10E2050A00,70.86,70.86,464.26
F37872,2,TUA00420,1830.01,3660.03,4198.19
F37876,1,EE00026,94.84,94.84,93.16
F37876,1,TU5/16X203V,321.87,321.87,328.13
F37878,2,TP0011,144.4,288.8,681.2
F37878,1,TP0012,50.54,50.54,259.46
F37880,3,TUA00017,409.87,1229.62,1961.87
F37882,1,TJ00046,204.07,204.07,703.93
F37882,1,TP0024,48.49,48.49,114.51
F37883,1,TUE00342,722.38,722.38,1602.62
F37884,2,TUE00103,248.65,497.3,2202.7
F37888,2,PJ14F10B0600,387.87,775.73,1234.27
F37888,1,PJ14J10B0600,404.78,404.78,600.22
F37892,1,TUA00148,1125.85,1125.85,1723.65
F37898,1,TUE00132,432.3,432.3,832.79
F37899,10,P114Q1H90412,396.54,3965.36,5041.55
F37900,1,TUS00119,48.21,48.21,478.79
F37903,9,TUA00087,318.83,2869.44,8299.56
F37906,1,TUE00345,133.09,133.09,987.6
F37908,6,TUE00248,160.64,963.82,3716.18
F37909,1,TJ00090,403.47,403.47,463.56
F37910,1,TUE00351,148.76,148.76,791.24
F37910,1,TUE00352,148.76,148.76,791.24
F37912,25,E1041968,111.17,2779.23,1324.37
F37914,1,RP00183,7.6,7.6,899.4
F37919,1,RP00137,107.68,107.68,551.92
F37922,3,TUA00124,647.84,1943.52,2773.83
F37925,4,TP0012,50.54,202.16,1037.84
F37927,4,TUE00207,493.68,1974.74,4485.26
F37929,1,RC00027,123.23,123.23,637.02
F37933,1,TUE00172,4045.07,4045.07,19950.17
F37937,2,PT00082,1214.3,2428.6,2822.4
F37938,2,TP0002,67.57,135.14,154.86
F37939,1,TUE00350,223.66,223.66,811.34
F37941,2,BN00252,183.93,367.86,856.14
F37942,5,TUA00436,333.44,1667.21,2457.79
F37943,2,CAE00039,842.74,1685.48,1373.9
F37944,6,TEA00099,217.64,1305.87,2914.83
F37946,1,BC00027,797.54,797.54,1952.46
F37947,3,TUA00099,1319.75,3959.26,6087.74
F37951,1,TP0001,42.79,42.79,67.21
F37953,3,CM10D2025A00,67.31,201.92,1105.99
F37953,2,CM10D2030A00,67.21,134.42,847.64
F37958,2,TP0004,86.23,172.46,187.54
F37959,1,TP0024,48.49,48.49,114.51
F37960,1,BL00055,213.87,213.87,462.85
F37961,1,TJ00043,48.85,48.85,951.15
F37962,3,TJ00043,48.85,146.54,2853.46
F37964,10,TUS00003,46.14,461.36,6490.64
F37966,1,BB1 1/2X1/2-300W,220.0,220.0,242.0
F37967,20,E1041960,210.95,4218.97,657.43
F37970,1,CS14E1020A00,28.9,28.9,439.2
F37971,2,P231F1H6AB00,671.48,1342.97,1447.73
F37972,3,TUA00079,249.07,747.21,2364.1
F37977,18,TUE00319,714.2,12855.68,61844.32
F37978,6,TUE00248,160.64,963.82,3716.18
F37980,10,TP0003,72.37,723.67,1776.33
F37985,4,BO00059,199.22,796.86,4299.7
F37987,2,CAE00039,842.74,1685.48,1373.9
F37990,2,TUA00412,143.09,286.18,1323.82
F37990,1,TUA00440,148.02,148.02,663.98
F37990,1,TUS00120,38.92,38.92,548.08
F37991,2,TP0002,51.36,102.71,204.19
F37996,2,TUA00124,517.64,1035.28,2109.62
F37997,1,RM00038,921.37,921.37,6481.35
F38000,2,TUA00376,2935.26,5870.53,8395.81
F38001,5,TP0025,76.46,382.32,652.68
F38003,1,TUS00048,36.0,36.0,586.0
F38004,1,TUE00258,67.21,67.21,1141.04
F38005,3,TP00011,509.98,1529.93,6270.07
F38005,5,TUE00261,694.6,3472.99,28027.01
F38008,2,TUA00437,242.78,485.55,1484.45
F38012,1,TUE00336,722.34,722.34,3115.06
F38014,5,PT00083,518.59,2592.94,2300.06
F38021,2,PA00001,3624.09,7248.18,6551.82
F38023,1,TP0011,144.4,144.4,276.29
F38026,1,BP00261,841.63,841.63,914.37
F38029,1,TUA00438,567.27,567.27,1130.44
F38030,1,TP0011,144.4,144.4,340.6
F38036,2,TP0012,50.54,101.08,694.92
F38042,12,CAE00040,333.2,3998.41,8265.59
F38043,2,TUE00034,504.53,1009.05,3984.95
F38046,7,ECQ-00971,374.14,2619.0,4213.0
F38046,4,ECQ-01444,852.37,3409.48,8803.52
F38047,35,ECQ-00972,335.51,11742.95,39892.55
F38047,10,ECQ-01444,791.1,7911.01,22621.49
F38048,1,TUE00344,928.07,928.07,2466.93
F38058,10,CS38C1008A00,61.88,618.84,4267.36
F38059,2,BB00095,42.99,85.97,646.03
F38061,2,PT31B1D5A400,11.02,22.03,531.79
F38062,6,TP0025,76.74,460.41,781.59
F38064,1,TP0016,222.0,222.0,510.0
F38065,1,RM00022,33.79,33.79,393.21
F38066,2,TK00062,112.64,225.28,803.22
F38067,5,TP0011,144.4,722.0,1703.0
F38067,1,TP0012,50.54,50.54,259.46
F38069,1,BP00260,72.34,72.34,820.66
F38073,17,E1041960,210.95,3586.12,562.22
